Time	Sum	Command
4457	4489	--> source /usr/share/fish/functions/__fish_set_locale.fish
32	32	---> function __fish_set_locale...
57	57	--> set -l LOCALE_VARS
72	72	--> set LOCALE_VARS $LOCALE_VARS LANG LANGUAGE LC_CTYPE LC_NUMERIC LC_TIME LC_COLLATE
120	120	--> set LOCALE_VARS $LOCALE_VARS LC_MONETARY LC_MESSAGES LC_PAPER LC_NAME LC_ADDRESS
152	152	--> set LOCALE_VARS $LOCALE_VARS LC_TELEPHONE LC_MEASUREMENT LC_IDENTIFICATION
110	214	--> for locale_var in $LOCALE_VARS LC_ALL...
28	104	---> if set -q $locale_var...
45	45	----> set -q $locale_var
31	31	----> return 0
41	41	-> set -l sourcelist
2962	251208	-> for file in $configdir/fish/conf.d/*.fish $__fish_sysconfdir/conf.d/*.fish $__extra_confdir/*.fish...
939	6773	--> set -l basename (string replace -r '^.*/' '' -- $file)
3135	5834	---> string replace -r '^.*/' '' -- $file
1330	2699	----> source /usr/share/fish/functions/string.fish
23	1369	-----> if not contains string (builtin -n)...
1195	1346	------> not contains string (builtin -n)
151	151	-------> builtin -n
56	56	--> contains -- $basename $sourcelist
60	60	--> set sourcelist $sourcelist $basename
2680	2680	--> [ -f $file -a -r $file ]
698	24344	--> and source $file
3448	23646	---> fisher copy-user-key-bindings
9822	10288	----> source /home/17411/.config/fish/functions/fisher.fish
132	132	-----> set -g fisher_version 3.2.10
52	52	-----> function fisher -a cmd -d "fish package manager"...
24	24	-----> function _fisher_complete...
16	16	-----> function _fisher_copy_user_key_bindings...
14	14	-----> function _fisher_ls...
13	13	-----> function _fisher_fmt...
14	14	-----> function _fisher_help...
24	24	-----> function _fisher_self_update -a file...
15	15	-----> function _fisher_self_uninstall...
23	23	-----> function _fisher_commit -a cmd...
28	28	-----> function _fisher_parse -a mode cmd...
22	22	-----> function _fisher_fetch...
32	32	-----> function _fisher_add -a pkg opts...
23	23	-----> function _fisher_rm -a pkg...
15	15	-----> function _fisher_jobs...
19	19	-----> function _fisher_now -a elapsed...
47	47	----> set -q XDG_CACHE_HOME
355	355	----> or set XDG_CACHE_HOME ~/.cache
36	36	----> set -q XDG_CONFIG_HOME
281	281	----> or set XDG_CONFIG_HOME ~/.config
68	68	----> set -g fish_config $XDG_CONFIG_HOME/fish
60	60	----> set -g fisher_cache $XDG_CACHE_HOME/fisher
57	57	----> set -g fisher_config $XDG_CONFIG_HOME/fisher
32	32	----> set -q fisher_path
54	54	----> or set -g fisher_path $fish_config
55	55	----> set -g fishfile $fish_config/fishfile
217	2828	----> for path in {$fish_config,$fisher_path}/{functions,completions,conf.d} $fisher_cache...
25	328	-----> if test ! -d $path...
303	303	------> test ! -d $path
26	410	-----> if test ! -d $path...
384	384	------> test ! -d $path
24	308	-----> if test ! -d $path...
284	284	------> test ! -d $path
23	291	-----> if test ! -d $path...
268	268	------> test ! -d $path
24	321	-----> if test ! -d $path...
297	297	------> test ! -d $path
26	282	-----> if test ! -d $path...
256	256	------> test ! -d $path
31	671	-----> if test ! -d $path...
640	640	------> test ! -d $path
26	335	----> if test ! -e $fisher_path/completions/fisher.fish...
309	309	-----> test ! -e $fisher_path/completions/fisher.fish
34	519	----> if test -e $fisher_path/conf.d/fisher.fish...
416	416	-----> test -e $fisher_path/conf.d/fisher.fish
69	69	-----> switch "$version"...
39	668	----> if test -e "$fisher_path/fishfile"...
336	336	-----> test -e "$fisher_path/fishfile"
293	293	-----> and test ! -e "$fishfile"
73	4515	----> switch "$cmd"...
2402	4442	-----> _fisher_copy_user_key_bindings
24	2016	------> if functions -q fish_user_key_bindings...
1992	1992	-------> functions -q fish_user_key_bindings
24	24	------> function fish_user_key_bindings...
680	849	--> set -l basename (string replace -r '^.*/' '' -- $file)
169	169	---> string replace -r '^.*/' '' -- $file
62	62	--> contains -- $basename $sourcelist
68	68	--> set sourcelist $sourcelist $basename
528	528	--> [ -f $file -a -r $file ]
1417	204087	--> and source $file
20	88	---> if test -z "$Z_DATA"...
68	68	----> test -z "$Z_DATA"
23	319	---> if test ! -e "$Z_DATA"...
296	296	----> test ! -e "$Z_DATA"
18	77	---> if test -z "$Z_CMD"...
59	59	----> test -z "$Z_CMD"
137995	137995	---> set -U ZO_CMD "$Z_CMD"o
29	165	---> if test ! -z $Z_CMD...
89	89	----> test ! -z $Z_CMD
47	47	----> function $Z_CMD -d "jump around"...
21	116	---> if test ! -z $ZO_CMD...
54	54	----> test ! -z $ZO_CMD
41	41	----> function $ZO_CMD -d "open target dir"...
16	55	---> if not set -q Z_EXCLUDE...
39	39	----> not set -q Z_EXCLUDE
1730	63825	---> __z_complete
1639	1708	----> source /home/17411/.config/fish/functions/__z_complete.fish
69	69	-----> function __z_complete -d "add completions"...
815	57441	----> set -l __z_marks (string replace -r '\|.*' '' < $Z_DATA | string escape)
56626	56626	-----> string replace -r '\|.*' '' < $Z_DATA | string escape
2356	2356	----> complete -c $Z_CMD -a "$__z_marks" -f
88	88	----> complete -c $ZO_CMD -a "$__z_marks" -f
97	97	----> complete -c $Z_CMD -s c -l clean  -d "Cleans out $Z_DATA"
70	70	----> complete -c $Z_CMD -s e -l echo   -d "Prints best match, no cd"
66	66	----> complete -c $Z_CMD -s l -l list   -d "List matches, no cd"
75	75	----> complete -c $Z_CMD -s p -l purge  -d "Purges $Z_DATA"
65	65	----> complete -c $Z_CMD -s r -l rank   -d "Searches by rank, cd"
65	65	----> complete -c $Z_CMD -s t -l recent -d "Searches by recency, cd"
64	64	----> complete -c $Z_CMD -s h -l help   -d "Print help"
30	30	---> function __z_on_variable_pwd --on-variable PWD...
750	910	--> set -l basename (string replace -r '^.*/' '' -- $file)
160	160	---> string replace -r '^.*/' '' -- $file
67	67	--> contains -- $basename $sourcelist
79	79	--> set sourcelist $sourcelist $basename
562	562	--> [ -f $file -a -r $file ]
1159	7121	--> and source $file
46	854	---> for p in /bin /usr/local/bin...
19	405	----> if not contains $p $PATH...
386	386	-----> not contains $p $PATH
18	403	----> if not contains $p $PATH...
385	385	-----> not contains $p $PATH
474	2383	---> __fish_reconstruct_path
772	772	----> set -l local_path $PATH
89	89	----> for x in $__fish_added_user_paths...
141	141	----> set -g __fish_added_user_paths
42	116	----> if set -q fish_user_paths...
74	74	-----> set -q fish_user_paths
791	791	----> set -xg PATH $local_path
35	2682	---> if status is-interactive...
2591	2591	----> status is-interactive
56	56	----> set -x BROWSER cygstart
18	43	---> if status is-login...
25	25	----> status is-login
18	54	-> if not set -q __fish_init_2_3_0...
36	36	--> not set -q __fish_init_2_3_0
16	40	-> if status --is-login...
24	24	--> status --is-login
534	534	> builtin source /etc/fish/config.fish
537	10443	> builtin source /home/17411/.config/fish/config.fish
2856	9906	-> export LSCOLORS=gxfxcxdxbxegedabagacad
1297	1341	--> source /usr/share/fish/functions/export.fish
44	44	---> function export --description 'Set env variable. Alias for `set -gx` for bash compatibility.'...
20	66	--> if not set -q argv[1]...
46	46	---> not set -q argv[1]
56	5643	--> for arg in $argv...
628	765	---> set -l v (string split -m 1 "=" -- $arg)
137	137	----> string split -m 1 "=" -- $arg
530	4822	---> switch (count $v)...
2094	2094	----> count $v
43	2198	----> if contains -- $v[1] PATH CDPATH MANPATH...
60	60	-----> contains -- $v[1] PATH CDPATH MANPATH
1990	1990	-----> true
105	105	-----> set -gx $v[1] $v[2]
2067	2067	> echo $_ " "
2583	447769	> __fish_pwd
847	173902	-> source /usr/share/fish/functions/__fish_pwd.fish
610	173055	--> switch (uname)...
172404	172404	---> uname
41	41	---> function __fish_pwd --description "Show current path"...
271284	271284	-> pwd | sed -e 's-^/cygdrive/\(.\)/\?-\u\1:/-'
139	1046999	> __fish_on_interactive
9009	1046821	-> __fish_config_interactive
9350	9451	--> source /usr/share/fish/functions/__fish_config_interactive.fish
101	101	---> function __fish_config_interactive -d "Initializations that should be performed when entering interactive mode"...
32	153811	--> if set -q __fish_config_interactive_done...
153779	153779	---> set -q __fish_config_interactive_done
73	73	--> set -g __fish_config_interactive_done
45	45	--> set -g __fish_active_key_bindings
294	294	--> set -l configdir ~/.config
28	63	--> if set -q XDG_CONFIG_HOME...
35	35	---> set -q XDG_CONFIG_HOME
334	334	--> set -l userdatadir ~/.local/share
22	56	--> if set -q XDG_DATA_HOME...
34	34	---> set -q XDG_DATA_HOME
19	51	--> if not set -q fish_greeting...
32	32	---> not set -q fish_greeting
19	50	--> if not set -q __fish_init_2_39_8...
31	31	---> not set -q __fish_init_2_39_8
33	380	--> if not set -q FISH_UNIT_TESTS_RUNNING...
30	30	---> not set -q FISH_UNIT_TESTS_RUNNING
23	317	---> if not test -d $userdatadir/fish/generated_completions...
294	294	----> not test -d $userdatadir/fish/generated_completions
28	2302	--> if status --is-interactive...
34	34	---> status --is-interactive
41	2240	---> if functions -q fish_greeting...
2021	2021	----> functions -q fish_greeting
81	81	----> test -n "$fish_greeting"
97	97	----> and echo $fish_greeting
52	52	--> function __fish_repaint --on-variable fish_color_cwd --description "Event handler, repaints the prompt when fish_color_cwd changes"...
38	38	--> function __fish_repaint_root --on-variable fish_color_cwd_root --description "Event handler, repaints the prompt when fish_color_cwd_root changes"...
27	562	--> if test -d /etc/init.d...
535	535	---> test -d /etc/init.d
22	65	--> if not set -q fish_key_bindings...
43	43	---> not set -q fish_key_bindings
53	53	--> function __fish_reload_key_bindings -d "Reload key bindings when binding variable change" --on-variable fish_key_bindings...
679	742607	--> __fish_reload_key_bindings
20	134	---> if test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"...
114	114	----> test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"
21	9719	---> if not functions -q "$fish_key_bindings"...
2628	9698	----> not functions -q "$fish_key_bindings"
6995	7070	-----> source /usr/share/fish/functions/fish_vi_key_bindings.fish
75	75	------> function fish_vi_key_bindings --description 'vi-like key bindings for fish'...
92	92	---> set -g __fish_active_key_bindings "$fish_key_bindings"
46	46	---> set -g fish_bind_mode default
36	728418	---> if test "$fish_key_bindings" = fish_default_key_bindings...
60	60	----> test "$fish_key_bindings" = fish_default_key_bindings
3509	728322	----> eval $fish_key_bindings ^/dev/null
1319	1364	-----> source /usr/share/fish/functions/eval.fish
45	45	------> function eval -S -d "Evaluate parameters as a command"...
77	77	-----> set -l status_copy $status
18	18	-----> function __fish_restore_status...
26	103	-----> if not set -q argv[2]...
38	38	------> not set -q argv[2]
39	39	------> switch "$argv[1]"...
43	43	-----> set -l mode
30	102	-----> if status --is-interactive-job-control...
30	30	------> status --is-interactive-job-control
42	42	------> set mode interactive
26	81	-----> if status --is-interactive...
26	26	------> status --is-interactive
29	29	------> status --job-control full
99	131	-----> __fish_restore_status $status_copy
32	32	------> return $argv[1]
77364	722633	-----> echo "begin; $argv "\n" ;end <&3 3<&-" | source 3<&0
66	645269	------> begin; fish_vi_key_bindings 
 ;end <&3 3<&-
6847	645203	-------> fish_vi_key_bindings
34	129	--------> if contains -- -h $argv...
56	56	---------> contains -- -h $argv
39	39	---------> or contains -- --help $argv
51	51	--------> set -l rebind true
38	2428	--------> if test "$argv[1]" = "--no-erase"...
68	68	---------> test "$argv[1]" = "--no-erase"
2322	2322	---------> bind --erase --all
34	115	--------> if test "$fish_key_bindings" != "fish_vi_key_bindings"...
81	81	---------> test "$fish_key_bindings" != "fish_vi_key_bindings"
40	40	--------> set -q fish_escape_delay_ms
56	56	--------> or set -g fish_escape_delay_ms 100
45	45	--------> set -l init_mode insert
68	68	--------> set -l eol_keys \$ g\$
68	68	--------> set -l bol_keys \^ 0 g\^
32	111	--------> if contains -- $argv[1] insert default visual...
45	45	---------> contains -- $argv[1] insert default visual
34	34	---------> set -q argv[1]
88	296943	--------> for mode in insert default visual...
7028	109790	---------> __fish_shared_key_bindings -M $mode
6177	6324	----------> source /usr/share/fish/functions/__fish_shared_key_bindings.fish
61	61	-----------> function __fish_shared_key_bindings -d "Bindings shared between emacs and vi mode"...
52	52	-----------> function __fish_commandline_insert_escaped --description 'Insert the first arg escaped if a second arg is given'...
18	18	-----------> function __fish_start_bracketed_paste...
16	16	-----------> function __fish_stop_bracketed_paste...
40	1162	----------> if contains -- -h $argv...
1052	1052	-----------> contains -- -h $argv
70	70	-----------> or contains -- --help $argv
69	69	----------> bind $argv \cy yank
63	63	----------> bind $argv \ey yank-pop
65	65	----------> bind $argv -k right forward-char
60	60	----------> bind $argv -k left backward-char
64	64	----------> bind $argv \e\[C forward-char
61	61	----------> bind $argv \e\[D backward-char
60	60	----------> bind $argv \eOC forward-char
60	60	----------> bind $argv \eOD backward-char
59	59	----------> bind $argv -k ppage beginning-of-history
59	59	----------> bind $argv -k npage end-of-history
63	63	----------> bind $argv \cx fish_clipboard_copy
1014	1014	----------> bind $argv \cv fish_clipboard_paste
100	100	----------> bind $argv \e cancel
67	67	----------> bind $argv \t complete
66	66	----------> bind $argv --key btab complete-and-search
73	73	----------> bind $argv \e\n "commandline -i \n"
72	72	----------> bind $argv \e\r "commandline -i \n"
61	61	----------> bind $argv -k down down-or-search
63	63	----------> bind $argv -k up up-or-search
65	65	----------> bind $argv \e\[A up-or-search
64	64	----------> bind $argv \e\[B down-or-search
61	61	----------> bind $argv \eOA up-or-search
60	60	----------> bind $argv \eOB down-or-search
63	63	----------> bind $argv \e\eOC nextd-or-forward-word
62	62	----------> bind $argv \e\eOD prevd-or-backward-word
80	80	----------> bind $argv \e\e\[C nextd-or-forward-word
75	75	----------> bind $argv \e\e\[D prevd-or-backward-word
64	64	----------> bind $argv \eO3C nextd-or-forward-word
63	63	----------> bind $argv \eO3D prevd-or-backward-word
64	64	----------> bind $argv \e\[3C nextd-or-forward-word
64	64	----------> bind $argv \e\[3D prevd-or-backward-word
64	64	----------> bind $argv \e\[1\;3C nextd-or-forward-word
64	64	----------> bind $argv \e\[1\;3D prevd-or-backward-word
64	64	----------> bind $argv \e\[1\;9C nextd-or-forward-word
64	64	----------> bind $argv \e\[1\;9D prevd-or-backward-word
70	70	----------> bind $argv \e\eOA history-token-search-backward
65	65	----------> bind $argv \e\eOB history-token-search-forward
65	65	----------> bind $argv \e\e\[A history-token-search-backward
66	66	----------> bind $argv \e\e\[B history-token-search-forward
63	63	----------> bind $argv \eO3A history-token-search-backward
63	63	----------> bind $argv \eO3B history-token-search-forward
65	65	----------> bind $argv \e\[3A history-token-search-backward
64	64	----------> bind $argv \e\[3B history-token-search-forward
65	65	----------> bind $argv \e\[1\;3A history-token-search-backward
66	66	----------> bind $argv \e\[1\;3B history-token-search-forward
65	65	----------> bind $argv \e\[1\;9A history-token-search-backward
65	65	----------> bind $argv \e\[1\;9B history-token-search-forward
64	64	----------> bind $argv \e. history-token-search-backward
62	62	----------> bind $argv \el __fish_list_current_token
75	75	----------> bind $argv \ew 'set tok (commandline -pt); if test $tok[1]; echo; whatis $tok[1]; commandline -f repaint; end'
73	73	----------> bind $argv \cl 'echo -n (clear | string replace \e\[3J ""); commandline -f repaint'
62	62	----------> bind $argv \cc __fish_cancel_commandline
61	61	----------> bind $argv \cu backward-kill-line
63	63	----------> bind $argv \cw backward-kill-path-component
66	66	----------> bind $argv \e\[F end-of-line
66	66	----------> bind $argv \e\[H beginning-of-line
76	76	----------> bind $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
62	62	----------> bind $argv \cd delete-or-exit
64	64	----------> bind $argv -k f1 __fish_man_page
63	63	----------> bind $argv \eh __fish_man_page
72	72	----------> bind $argv \ep '__fish_paginate'
72	72	----------> bind $argv \e\# __fish_toggle_comment_commandline
43	43	----------> bind \ee edit_command_buffer
43	43	----------> bind \ev edit_command_buffer
935	89736	----------> for mode in (bind --list-modes | string match -v paste)...
88528	88528	-----------> bind --list-modes | string match -v paste
150	150	-----------> bind -M $mode -m paste \e\[200~ '__fish_start_bracketed_paste'
123	123	-----------> bind -M $mode -m paste \e\[200~ '__fish_start_bracketed_paste'
94	94	----------> bind -M paste \e\[201~ '__fish_stop_bracketed_paste'
72	72	----------> bind -M paste "" self-insert
91	91	----------> bind -M paste \r "commandline -i \n"
89	89	----------> bind -M paste "'" "__fish_commandline_insert_escaped \' \$__fish_paste_quoted"
85	85	----------> bind -M paste \\ "__fish_commandline_insert_escaped \\\ \$__fish_paste_quoted"
3452	88137	---------> __fish_shared_key_bindings -M $mode
44	183	----------> if contains -- -h $argv...
83	83	-----------> contains -- -h $argv
56	56	-----------> or contains -- --help $argv
68	68	----------> bind $argv \cy yank
64	64	----------> bind $argv \ey yank-pop
67	67	----------> bind $argv -k right forward-char
63	63	----------> bind $argv -k left backward-char
69	69	----------> bind $argv \e\[C forward-char
74	74	----------> bind $argv \e\[D backward-char
60	60	----------> bind $argv \eOC forward-char
58	58	----------> bind $argv \eOD backward-char
63	63	----------> bind $argv -k ppage beginning-of-history
69	69	----------> bind $argv -k npage end-of-history
62	62	----------> bind $argv \cx fish_clipboard_copy
60	60	----------> bind $argv \cv fish_clipboard_paste
61	61	----------> bind $argv \e cancel
61	61	----------> bind $argv \t complete
61	61	----------> bind $argv --key btab complete-and-search
72	72	----------> bind $argv \e\n "commandline -i \n"
70	70	----------> bind $argv \e\r "commandline -i \n"
61	61	----------> bind $argv -k down down-or-search
61	61	----------> bind $argv -k up up-or-search
69	69	----------> bind $argv \e\[A up-or-search
65	65	----------> bind $argv \e\[B down-or-search
58	58	----------> bind $argv \eOA up-or-search
58	58	----------> bind $argv \eOB down-or-search
65	65	----------> bind $argv \e\eOC nextd-or-forward-word
65	65	----------> bind $argv \e\eOD prevd-or-backward-word
64	64	----------> bind $argv \e\e\[C nextd-or-forward-word
64	64	----------> bind $argv \e\e\[D prevd-or-backward-word
64	64	----------> bind $argv \eO3C nextd-or-forward-word
63	63	----------> bind $argv \eO3D prevd-or-backward-word
63	63	----------> bind $argv \e\[3C nextd-or-forward-word
64	64	----------> bind $argv \e\[3D prevd-or-backward-word
68	68	----------> bind $argv \e\[1\;3C nextd-or-forward-word
71	71	----------> bind $argv \e\[1\;3D prevd-or-backward-word
66	66	----------> bind $argv \e\[1\;9C nextd-or-forward-word
66	66	----------> bind $argv \e\[1\;9D prevd-or-backward-word
64	64	----------> bind $argv \e\eOA history-token-search-backward
62	62	----------> bind $argv \e\eOB history-token-search-forward
65	65	----------> bind $argv \e\e\[A history-token-search-backward
65	65	----------> bind $argv \e\e\[B history-token-search-forward
65	65	----------> bind $argv \eO3A history-token-search-backward
63	63	----------> bind $argv \eO3B history-token-search-forward
65	65	----------> bind $argv \e\[3A history-token-search-backward
65	65	----------> bind $argv \e\[3B history-token-search-forward
68	68	----------> bind $argv \e\[1\;3A history-token-search-backward
67	67	----------> bind $argv \e\[1\;3B history-token-search-forward
110	110	----------> bind $argv \e\[1\;9A history-token-search-backward
80	80	----------> bind $argv \e\[1\;9B history-token-search-forward
65	65	----------> bind $argv \e. history-token-search-backward
63	63	----------> bind $argv \el __fish_list_current_token
73	73	----------> bind $argv \ew 'set tok (commandline -pt); if test $tok[1]; echo; whatis $tok[1]; commandline -f repaint; end'
71	71	----------> bind $argv \cl 'echo -n (clear | string replace \e\[3J ""); commandline -f repaint'
61	61	----------> bind $argv \cc __fish_cancel_commandline
60	60	----------> bind $argv \cu backward-kill-line
61	61	----------> bind $argv \cw backward-kill-path-component
66	66	----------> bind $argv \e\[F end-of-line
65	65	----------> bind $argv \e\[H beginning-of-line
74	74	----------> bind $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
67	67	----------> bind $argv \cd delete-or-exit
65	65	----------> bind $argv -k f1 __fish_man_page
63	63	----------> bind $argv \eh __fish_man_page
70	70	----------> bind $argv \ep '__fish_paginate'
63	63	----------> bind $argv \e\# __fish_toggle_comment_commandline
40	40	----------> bind \ee edit_command_buffer
38	38	----------> bind \ev edit_command_buffer
824	80049	----------> for mode in (bind --list-modes | string match -v paste)...
79050	79050	-----------> bind --list-modes | string match -v paste
101	101	-----------> bind -M $mode -m paste \e\[200~ '__fish_start_bracketed_paste'
74	74	-----------> bind -M $mode -m paste \e\[200~ '__fish_start_bracketed_paste'
56	56	----------> bind -M paste \e\[201~ '__fish_stop_bracketed_paste'
49	49	----------> bind -M paste "" self-insert
55	55	----------> bind -M paste \r "commandline -i \n"
74	74	----------> bind -M paste "'" "__fish_commandline_insert_escaped \' \$__fish_paste_quoted"
58	58	----------> bind -M paste \\ "__fish_commandline_insert_escaped \\\ \$__fish_paste_quoted"
2749	98928	---------> __fish_shared_key_bindings -M $mode
51	173	----------> if contains -- -h $argv...
64	64	-----------> contains -- -h $argv
58	58	-----------> or contains -- --help $argv
72	72	----------> bind $argv \cy yank
67	67	----------> bind $argv \ey yank-pop
71	71	----------> bind $argv -k right forward-char
70	70	----------> bind $argv -k left backward-char
72	72	----------> bind $argv \e\[C forward-char
70	70	----------> bind $argv \e\[D backward-char
63	63	----------> bind $argv \eOC forward-char
61	61	----------> bind $argv \eOD backward-char
69	69	----------> bind $argv -k ppage beginning-of-history
68	68	----------> bind $argv -k npage end-of-history
66	66	----------> bind $argv \cx fish_clipboard_copy
66	66	----------> bind $argv \cv fish_clipboard_paste
65	65	----------> bind $argv \e cancel
65	65	----------> bind $argv \t complete
69	69	----------> bind $argv --key btab complete-and-search
77	77	----------> bind $argv \e\n "commandline -i \n"
76	76	----------> bind $argv \e\r "commandline -i \n"
67	67	----------> bind $argv -k down down-or-search
68	68	----------> bind $argv -k up up-or-search
71	71	----------> bind $argv \e\[A up-or-search
70	70	----------> bind $argv \e\[B down-or-search
62	62	----------> bind $argv \eOA up-or-search
62	62	----------> bind $argv \eOB down-or-search
148	148	----------> bind $argv \e\eOC nextd-or-forward-word
79	79	----------> bind $argv \e\eOD prevd-or-backward-word
71	71	----------> bind $argv \e\e\[C nextd-or-forward-word
69	69	----------> bind $argv \e\e\[D prevd-or-backward-word
69	69	----------> bind $argv \eO3C nextd-or-forward-word
69	69	----------> bind $argv \eO3D prevd-or-backward-word
70	70	----------> bind $argv \e\[3C nextd-or-forward-word
70	70	----------> bind $argv \e\[3D prevd-or-backward-word
74	74	----------> bind $argv \e\[1\;3C nextd-or-forward-word
72	72	----------> bind $argv \e\[1\;3D prevd-or-backward-word
72	72	----------> bind $argv \e\[1\;9C nextd-or-forward-word
89	89	----------> bind $argv \e\[1\;9D prevd-or-backward-word
68	68	----------> bind $argv \e\eOA history-token-search-backward
66	66	----------> bind $argv \e\eOB history-token-search-forward
67	67	----------> bind $argv \e\e\[A history-token-search-backward
68	68	----------> bind $argv \e\e\[B history-token-search-forward
67	67	----------> bind $argv \eO3A history-token-search-backward
67	67	----------> bind $argv \eO3B history-token-search-forward
68	68	----------> bind $argv \e\[3A history-token-search-backward
68	68	----------> bind $argv \e\[3B history-token-search-forward
70	70	----------> bind $argv \e\[1\;3A history-token-search-backward
70	70	----------> bind $argv \e\[1\;3B history-token-search-forward
69	69	----------> bind $argv \e\[1\;9A history-token-search-backward
89	89	----------> bind $argv \e\[1\;9B history-token-search-forward
65	65	----------> bind $argv \e. history-token-search-backward
63	63	----------> bind $argv \el __fish_list_current_token
88	88	----------> bind $argv \ew 'set tok (commandline -pt); if test $tok[1]; echo; whatis $tok[1]; commandline -f repaint; end'
196	196	----------> bind $argv \cl 'echo -n (clear | string replace \e\[3J ""); commandline -f repaint'
180	180	----------> bind $argv \cc __fish_cancel_commandline
151	151	----------> bind $argv \cu backward-kill-line
118	118	----------> bind $argv \cw backward-kill-path-component
99	99	----------> bind $argv \e\[F end-of-line
76	76	----------> bind $argv \e\[H beginning-of-line
80	80	----------> bind $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
62	62	----------> bind $argv \cd delete-or-exit
